status	sim_time	in_0	in_1	
1	81.1395	1	0.931201	
1	34.8357	0.646966	1	
1	23.0478	1	0.463163	
1	16.5274	1	0.235012	
1	48.6723	1	0.620505	
0	90.0064	0.561441	1	
1	27.6728	1	0.329772	
1	4.56125	1	0.574098	
0	9.52976	0.919953	1	
1	26.3598	0.378584	1	
1	27.9541	0.722368	1	
1	18.4671	0.284199	1	
1	14.4975	1	0.0162014	
1	12.6644	1	0.3897	
0	45.5131	0.950138	1	
1	29.0136	0.213267	1	
1	10.6302	0.142887	1	
1	47.0449	1	0.784997	
1	48.4541	0	0	
1	50.8519	1	0.843927	
0	64.0723	1	0.8107	
1	34.5023	1	0.383247	
1	14.7929	1	0.638818	
1	75.2176	0.570974	1	
1	68.4791	1	0.848996	
1	49.9428	0.534644	0.855275	
1	15.1712	1	0.775046	
1	14.5476	0.662428	1	
1	49.0983	0.71694	1	
0	81.996	0.124303	1	
1	46.8244	0.232792	1	
1	38.7903	1	0.890817	
0	5.389	0.873777	1	
1	5.66048	0	0	
1	6.13813	0	0	
1	6.37394	0	0	
1	7.85241	0	0	
1	24.0011	0.599253	1	
1	2.73348	1	0.494959	
1	23.9294	0.352402	0.654752	
0	41.0727	1	0.58972	
1	41.1176	0	0	
1	19.789	1	0.795376	
1	12.4624	1	0.692512	
1	19.7201	0	0	
0	25.8065	0.774738	1	
0	64.3933	0.292497	0.993739	
1	19.9228	1	0.496701	
1	22.8445	1	0.737702	
0	24.2423	1	0.966003	
1	24.3797	0	0	
1	32.471	0.208268	1	
1	32.4759	0	0	
1	14.5614	0.672183	1	
1	21.0518	1	0.903118	
0	5.77391	0.717519	1	
1	6.15285	0	0	
1	6.87562	0	0	
1	11.822	0	0	
1	21.0636	0	0	
0	43.2633	0.309037	1	
0	47.3391	0.361777	0.705571	
1	47.7258	0	0	
1	18.6287	1	0.900429	
1	20.2209	0	0	
1	3.02759	1	0.153949	
1	18.9606	1	0.854715	
1	23.9301	1	0.914753	
1	24.1588	0	0	
0	32.1471	0.399538	1	
1	12.0208	1	0.165206	
1	8.22415	1	0.00965375	
1	8.50327	1	0.538929	
1	8.66367	0	0	
0	43.4027	0.19151	1	
0	16.6298	1	1	
0	4.94007	1	1	
0	0.494111	1	1	
1	0.689852	0	0	
1	1.34943	0	0	
0	48.2725	0.176547	0.862031	
0	0.66706	1	1	
1	0.908669	0	0	
1	0.915895	0	0	
1	2.49528	1	0.360303	
1	2.99946	0	0	
1	3.66933	0	0	
1	4.38204	0	0	
1	5.43865	0	0	
0	19.6215	0.996182	0.873723	
0	1.84737	1	1	
1	2.869	0	0	
1	3.32431	0	0	
1	3.9888	0	0	
0	44.7427	0.647878	0.640152	
0	7.38994	1	1	
1	7.67993	0	0	
1	7.80993	0	0	
1	9.19823	0	0	
1	17.3425	1	0.910496	
1	18.7547	0	0	
1	11.2642	1	0.657418	
1	15.8273	0	0	
0	18.0808	1	0.579789	
1	18.4782	0	0	
0	55.1189	0.478455	0.914202	
0	6.24142	1	1	
0	3.49467	1	1	
1	3.76363	0	0	
0	2.5558	1	1	
1	3.12744	0	0	
0	0.00454301	1	1	
0	0.749615	1	1	
1	0.852821	0	0	
1	1.03335	0	0	
1	1.20267	0	0	
0	1.26026	1	1	
1	1.73048	0	0	
0	1.75495	1	1	
1	1.75511	0	0	
1	1.89109	0	0	
1	1.89581	0	0	
1	2.22099	0	0	
1	3.20653	0	0	
1	3.31689	0	0	
0	2.33687	1	1	
1	2.80075	0	0	
1	3.37504	0	0	
1	4.01637	0	0	
0	4.10902	1	1	
0	23.6015	0.356037	0.821258	
0	24.1664	1	1	
0	4.86718	1	1	
1	5.30186	0	0	
1	6.45977	0	0	
1	6.86899	0	0	
